,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
0,2017-08-17 04:00:00,4261.48,4349.99,4261.32,4349.99,82.088865,2017-08-17 07:59:59.999000064,353194.33293028,334,64.013727,275647.42191079,8048.12788573
1,2017-08-17 08:00:00,4333.32,4485.39,4333.32,4427.3,63.619882,2017-08-17 11:59:59.999000064,282501.15774965,248,58.787633,261054.05115395,8020.69809580
2,2017-08-17 12:00:00,4436.06,4485.39,4333.42,4352.34,174.562001,2017-08-17 15:59:59.999000064,774238.79831726,858,125.184133,555419.7580611,8133.19065768
3,2017-08-17 16:00:00,4352.33,4354.84,4200.74,4325.23,225.109716,2017-08-17 19:59:59.999000064,965291.09880366,986,165.036363,707808.20092154,8425.11285235
4,2017-08-17 20:00:00,4307.56,4369.69,4258.56,4285.08,249.769913,2017-08-17 23:59:59.999000064,1079544.66293121,1001,203.226685,878286.96855663,8733.91139481
5,2017-08-18 00:00:00,4285.08,4340.62,4134.61,4292.39,276.193043,2017-08-18 03:59:59.999000064,1175805.57438953,1036,214.65557,915578.05399653,8878.99116096
6,2017-08-18 04:00:00,4292.39,4340.62,4234.43,4300.25,248.389029,2017-08-18 07:59:59.999000064,1063954.72616754,1135,203.646699,872408.75176393,9223.82352585
7,2017-08-18 08:00:00,4285.0,4371.52,4259.85,4340.31,196.140129,2017-08-18 11:59:59.999000064,845595.8660428,880,167.105732,720161.34080559,9366.91450807
8,2017-08-18 12:00:00,4320.52,4340.31,4193.7,4236.89,175.969384,2017-08-18 15:59:59.999000064,749458.52575861,697,147.078312,626284.07432919,9371.62988671
9,2017-08-18 16:00:00,4234.54,4297.75,4015.7,4136.28,193.64697,2017-08-18 19:59:59.999000064,807331.06009917,753,153.458944,641094.96292248,9365.31224186
10,2017-08-18 20:00:00,4135.0,4136.48,3938.77,4108.37,109.549709,2017-08-18 23:59:59.999000064,444812.55371386,732,86.923453,353596.13270036,9384.14140858
11,2017-08-19 00:00:00,4108.37,4184.69,4084.28,4138.55,108.510448,2017-08-19 03:59:59.999000064,449351.42223461,585,92.399174,382661.64455272,9468.40817753
12,2017-08-19 04:00:00,4138.5,4156.0,3933.21,4033.47,112.752079,2017-08-19 07:59:59.999000064,457214.75420634,493,76.679027,310960.50822565,9442.59220347
13,2017-08-19 08:00:00,4033.47,4082.25,3850.0,3957.6,77.256042,2017-08-19 11:59:59.999000064,307816.368114,481,44.219584,177045.86484426,9415.13265905
14,2017-08-19 12:00:00,3945.12,4100.0,3928.89,3972.05,47.515578,2017-08-19 15:59:59.999000064,192323.93679216,320,33.814759,137030.5272986,9232.31800303
15,2017-08-19 16:00:00,4036.19,4103.92,3953.4,4076.12,25.925056,2017-08-19 19:59:59.999000064,104478.70292304,161,20.098673,81056.62024693,9141.76888514
16,2017-08-19 20:00:00,4088.71,4149.99,4051.47,4139.98,9.35056,2017-08-19 23:59:59.999000064,38298.55115136,113,7.124825,29246.70491919,9184.08552906
17,2017-08-20 00:00:00,4120.98,4139.98,4044.0,4094.62,6.611283,2017-08-20 03:59:59.999000064,27090.32379014,79,5.758385,23607.94873166,9087.06259150
18,2017-08-20 04:00:00,4094.62,4156.56,4081.19,4155.87,28.60391,2017-08-20 07:59:59.999000064,117539.1748737,275,20.148087,82819.22457595,9252.69753132
19,2017-08-20 08:00:00,4155.87,4211.08,4032.62,4106.53,36.019943,2017-08-20 11:59:59.999000064,148442.01320702,268,20.259055,83560.55317922,9680.68801577
