,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
0,2017-07-14,0.08,0.091033,0.08,0.090993,1942.057,2017-07-14 23:59:59.999000064,170.23852396,1994,1076.405,94.82527222,22262.26697743
1,2017-07-15,0.090993,0.093699,0.087127,0.087635,4013.066,2017-07-15 23:59:59.999000064,363.03178785,4623,2250.318,203.54149755,22275.36801826
2,2017-07-16,0.087508,0.087635,0.075591,0.082241,8904.158,2017-07-16 23:59:59.999000064,722.21248196,8137,5557.575,450.34388688,22295.47295841
3,2017-07-17,0.082368,0.088394,0.081699,0.087537,6650.933,2017-07-17 23:59:59.999000064,568.24653804,7639,3859.485,329.66875309,22165.74281157
4,2017-07-18,0.087831,0.109068,0.084777,0.107732,7245.741,2017-07-18 23:59:59.999000064,674.49785037,8121,4202.055,393.11140275,22505.62469176
5,2017-07-19,0.107732,0.108732,0.08429,0.086853,7384.976,2017-07-19 23:59:59.999000064,723.00911562,8314,4794.262,468.26023838,22694.83280054
6,2017-07-20,0.087144,0.095252,0.074982,0.080509,6395.16,2017-07-20 23:59:59.999000064,564.01770441,6535,4266.261,375.19828457,22680.25672156
7,2017-07-21,0.080383,0.087511,0.079635,0.081581,7434.389,2017-07-21 23:59:59.999000064,618.20894652,7839,4604.947,382.99257488,22725.62782143
8,2017-07-22,0.081586,0.084733,0.079856,0.082474,7979.899,2017-07-22 23:59:59.999000064,651.60703581,8841,4460.358,364.37225928,22661.58158102
9,2017-07-23,0.082312,0.08456,0.081417,0.083533,6340.799,2017-07-23 23:59:59.999000064,527.55598124,7032,3714.152,309.05616001,22494.29294971
10,2017-07-24,0.083438,0.083973,0.082265,0.083161,7380.244,2017-07-24 23:59:59.999000064,612.72702417,8346,3931.116,326.44455142,22474.16443102
11,2017-07-25,0.083149,0.083149,0.075482,0.079654,7845.032,2017-07-25 23:59:59.999000064,634.98369428,8099,4588.865,371.28600482,22508.98528992
